ds,district,cases,RDT Kits,ACT Doses,Bed Nets,Rainfall_mm,Humidity_%,Temperature_C
2022-01-01,Chennai,0,0,0,0,15,47,23
2022-02-01,Chennai,0,0,0,0,0,40,29
2022-03-01,Chennai,6,6,4,3,0,46,30
2022-04-01,Chennai,76,76,53,38,0,45,30
2022-05-01,Chennai,64,64,44,32,17,59,27
2022-06-01,Chennai,92,92,64,46,74,69,24
2022-07-01,Chennai,106,106,74,53,110,79,23
2022-08-01,Chennai,114,114,79,57,179,77,20
2022-09-01,Chennai,67,67,46,33,162,82,20
2022-10-01,Chennai,37,37,25,18,120,73,22
2022-11-01,Chennai,34,34,23,17,86,61,22
2022-12-01,Chennai,6,6,4,3,67,51,26
2023-01-01,Chennai,0,0,0,0,5,45,24
2023-02-01,Chennai,0,0,0,0,0,40,28
2023-03-01,Chennai,53,53,37,26,0,47,26
2023-04-01,Chennai,47,47,32,23,0,52,30
2023-05-01,Chennai,99,99,69,49,0,57,29
2023-06-01,Chennai,102,102,71,51,24,64,23
2023-07-01,Chennai,123,123,86,61,102,80,21
2023-08-01,Chennai,109,109,76,54,149,78,21
2023-09-01,Chennai,70,70,49,35,142,75,20
2023-10-01,Chennai,63,63,44,31,127,70,21
2023-11-01,Chennai,32,32,22,16,113,59,21
2023-12-01,Chennai,0,0,0,0,16,42,22
2024-01-01,Chennai,0,0,0,0,7,40,26
2024-02-01,Chennai,28,28,19,14,0,43,27
2024-03-01,Chennai,19,19,13,9,0,40,31
2024-04-01,Chennai,19,19,13,9,0,51,28
2024-05-01,Chennai,55,55,38,27,1,57,27
2024-06-01,Chennai,106,106,74,53,82,68,22
2024-07-01,Chennai,117,117,81,58,104,84,24
2024-08-01,Chennai,113,113,79,56,165,74,20
2024-09-01,Chennai,65,65,45,32,142,70,21
2024-10-01,Chennai,49,49,34,24,107,64,21
2024-11-01,Chennai,40,40,28,20,139,74,23
2024-12-01,Chennai,0,0,0,0,7,51,23
2022-01-01,Coimbatore,94,94,65,47,0,41,29
2022-02-01,Coimbatore,114,114,79,57,0,40,25
2022-03-01,Coimbatore,123,123,86,61,0,51,30
2022-04-01,Coimbatore,182,182,127,91,0,44,27
2022-05-01,Coimbatore,178,178,124,89,42,55,29
2022-06-01,Coimbatore,196,196,137,98,68,71,24
2022-07-01,Coimbatore,222,222,155,111,86,79,21
2022-08-01,Coimbatore,190,190,133,95,111,80,23
2022-09-01,Coimbatore,196,196,137,98,147,78,22
2022-10-01,Coimbatore,167,167,116,83,128,75,21
2022-11-01,Coimbatore,163,163,114,81,103,53,20
2022-12-01,Coimbatore,144,144,100,72,84,49,24
2023-01-01,Coimbatore,132,132,92,66,0,40,28
2023-02-01,Coimbatore,103,103,72,51,0,40,30
2023-03-01,Coimbatore,161,161,112,80,0,45,25
2023-04-01,Coimbatore,162,162,113,81,0,43,27
2023-05-01,Coimbatore,186,186,130,93,18,53,27
2023-06-01,Coimbatore,205,205,143,102,43,75,26
2023-07-01,Coimbatore,249,249,174,124,96,73,22
2023-08-01,Coimbatore,219,219,153,109,140,74,20
2023-09-01,Coimbatore,197,197,137,98,200,86,20
2023-10-01,Coimbatore,157,157,109,78,107,67,21
2023-11-01,Coimbatore,157,157,109,78,85,56,20
2023-12-01,Coimbatore,107,107,74,53,28,47,23
2024-01-01,Coimbatore,101,101,70,50,0,40,31
2024-02-01,Coimbatore,85,85,59,42,0,49,35
2024-03-01,Coimbatore,109,109,76,54,0,44,33
2024-04-01,Coimbatore,143,143,100,71,0,53,30
2024-05-01,Coimbatore,185,185,129,92,0,53,27
2024-06-01,Coimbatore,209,209,146,104,54,67,25
2024-07-01,Coimbatore,243,243,170,121,103,79,22
2024-08-01,Coimbatore,214,214,149,107,122,81,20
2024-09-01,Coimbatore,234,234,163,117,181,79,20
2024-10-01,Coimbatore,140,140,98,70,160,71,21
2024-11-01,Coimbatore,98,98,68,49,118,62,20
2024-12-01,Coimbatore,101,101,70,50,55,50,24
2022-01-01,Salem,92,92,64,46,3,50,22
2022-02-01,Salem,101,101,70,50,0,41,28
2022-03-01,Salem,92,92,64,46,0,51,26
2022-04-01,Salem,175,175,122,87,0,49,27
2022-05-01,Salem,181,181,126,90,26,62,30
2022-06-01,Salem,233,233,163,116,58,78,25
2022-07-01,Salem,234,234,163,117,94,77,21
2022-08-01,Salem,229,229,160,114,113,83,20
2022-09-01,Salem,211,211,147,105,165,86,21
2022-10-01,Salem,126,126,88,63,135,64,20
2022-11-01,Salem,158,158,110,79,112,56,20
2022-12-01,Salem,106,106,74,53,25,46,25
2023-01-01,Salem,121,121,84,60,12,40,28
2023-02-01,Salem,107,107,74,53,0,48,25
2023-03-01,Salem,116,116,81,58,0,40,32
2023-04-01,Salem,165,165,115,82,0,47,30
2023-05-01,Salem,209,209,146,104,4,61,28
2023-06-01,Salem,192,192,134,96,47,69,25
2023-07-01,Salem,237,237,165,118,78,76,25
2023-08-01,Salem,195,195,136,97,120,81,22
2023-09-01,Salem,188,188,131,94,176,81,21
2023-10-01,Salem,169,169,118,84,183,68,20
2023-11-01,Salem,160,160,112,80,90,60,25
2023-12-01,Salem,73,73,51,36,24,41,23
2024-01-01,Salem,106,106,74,53,10,44,24
2024-02-01,Salem,59,59,41,29,0,40,30
2024-03-01,Salem,142,142,99,71,0,46,30
2024-04-01,Salem,168,168,117,84,0,49,29
2024-05-01,Salem,204,204,142,102,0,62,26
2024-06-01,Salem,207,207,144,103,66,60,22
